dataset,metafolds,experiments,cutoff,seed,stage,component,value
fashion-mnist,1,5000,10,1545515,preprocessing,pre_scaling,True
fashion-mnist,1,5000,10,1545515,preprocessing,f_eng1,Selection
fashion-mnist,1,5000,10,1545515,preprocessing,f_eng2,None
fashion-mnist,1,5000,10,1545515,prediction,scaling,False
fashion-mnist,1,5000,10,1545515,prediction,algorithm,SVM
fashion-mnist,1,5000,10,1545516,preprocessing,pre_scaling,False
fashion-mnist,1,5000,10,1545516,preprocessing,f_eng1,None
fashion-mnist,1,5000,10,1545516,preprocessing,f_eng2,None
fashion-mnist,1,5000,10,1545516,prediction,scaling,True
fashion-mnist,1,5000,10,1545516,prediction,algorithm,MLP
fashion-mnist,1,5000,10,1545517,preprocessing,pre_scaling,False
fashion-mnist,1,5000,10,1545517,preprocessing,f_eng1,None
fashion-mnist,1,5000,10,1545517,preprocessing,f_eng2,None
fashion-mnist,1,5000,10,1545517,prediction,scaling,False
fashion-mnist,1,5000,10,1545517,prediction,algorithm,SVM
fashion-mnist,1,5000,10,1545518,preprocessing,pre_scaling,False
fashion-mnist,1,5000,10,1545518,preprocessing,f_eng1,None
fashion-mnist,1,5000,10,1545518,preprocessing,f_eng2,None
fashion-mnist,1,5000,10,1545518,prediction,scaling,True
fashion-mnist,1,5000,10,1545518,prediction,algorithm,SVM
fashion-mnist,1,5000,10,1545519,preprocessing,pre_scaling,False
fashion-mnist,1,5000,10,1545519,preprocessing,f_eng1,None
fashion-mnist,1,5000,10,1545519,preprocessing,f_eng2,None
fashion-mnist,1,5000,10,1545519,prediction,scaling,True
fashion-mnist,1,5000,10,1545519,prediction,algorithm,SVM
